Product Name,Over_All_Rating,Price,Date,Rating,Name,Comment
Buy RARE RABBIT Men Auxfo Slim Fit Button Down Collar Cotton Shirt  - Shirts for Men 23136562 | Myntra,4.2,₹1999,5 May 2024,5,Myntra Customer,Branded is really good 
Buy RARE RABBIT Men Auxfo Slim Fit Button Down Collar Cotton Shirt  - Shirts for Men 23136562 | Myntra,4.2,₹1999,20 July 2024,5,Myntra Customer,"Best fitting loved it
"
Buy RARE RABBIT Men Auxfo Slim Fit Button Down Collar Cotton Shirt  - Shirts for Men 23136562 | Myntra,4.2,₹1999,17 Oct 2024,3,Myntra Customer,"Bought this 38, but it is too tight but the quality is good

"
Buy RARE RABBIT Men Auxfo Slim Fit Button Down Collar Cotton Shirt  - Shirts for Men 23136562 | Myntra,4.2,₹1999,10 Oct 2024,5,Myntra Customer,Super cloth and smooth fabric
Buy RARE RABBIT Men Auxfo Slim Fit Button Down Collar Cotton Shirt  - Shirts for Men 23136562 | Myntra,4.2,₹1999,4 Sept 2024,5,Myntra Customer,Original rare rabit shirt
Buy RARE RABBIT Men Auxfo Slim Fit Button Down Collar Cotton Shirt  - Shirts for Men 23136562 | Myntra,4.2,₹1999,14 May 2024,4,Myntra Customer,Best comfort in this segment 
Buy RARE RABBIT Men Auxfo Slim Fit Button Down Collar Cotton Shirt  - Shirts for Men 23136562 | Myntra,4.2,₹1999,4 May 2024,5,Myntra Customer,Super quality meterial 
Buy RARE RABBIT Men Auxfo Slim Fit Button Down Collar Cotton Shirt  - Shirts for Men 23136562 | Myntra,4.2,₹1999,15 Jan 2025,5,Myntra Customer,This is very good Product 
Buy RARE RABBIT Men Auxfo Slim Fit Button Down Collar Cotton Shirt  - Shirts for Men 23136562 | Myntra,4.2,₹1999,15 July 2024,5,Myntra Customer,As usual the quality is good.
Buy RARE RABBIT Men Auxfo Slim Fit Button Down Collar Cotton Shirt  - Shirts for Men 23136562 | Myntra,4.2,₹1999,15 Dec 2024,5,Myntra Customer,Great fit and colour 
